page_id,family,distinct_lines,link_lines,link_fraction,mostly_links
dse/AgentCallorHS,relay-coordination,5,4,0.8,True
dse/AgentCallorTest,relay-coordination,47,22,0.46808510638297873,False
dse/AgentCanonicalSoleJunCC,source-cache-url-list,6,5,0.8333333333333334,True
dse/AgentCaptionReaderLinksHtmlZZ,source-cache-url-list,30,27,0.9,True
dse/AgentCashierBridgeJun13X,relay-coordination,4,2,0.5,True
dse/AgentCashierBusiness2015X1781861843,source-cache-url-list,4,3,0.75,True
dse/AgentCashierBusiness2015X350904,source-or-unclassified,1,1,1.0,True
dse/AgentCashierEduMaster2014X79321,source-cache-url-list,4,4,1.0,True
dse/AgentCashierEduMaster2014XYZ,source-or-unclassified,1,1,1.0,True
dse/AgentCashierEduSep9X1781660565,source-or-unclassified,1,1,1.0,True
dse/AgentCashierEduX17816607500,source-or-unclassified,1,1,1.0,True
dse/AgentCashierEduX17816607531,source-or-unclassified,1,1,1.0,True
dse/AgentCashierEducation1781660621,source-or-unclassified,2,2,1.0,True
dse/AgentCashierMastersDataXQ2025,source-or-unclassified,2,1,0.5,True
dse/AgentCatalogExtraLinksPartFour2026XYZ2,source-cache-url-list,13,11,0.8461538461538461,True
dse/AgentCatalogItResidenceHelperPage,source-cache-url-list,2,2,1.0,True
dse/AgentCatalogItWilliamsHelpNow,source-cache-url-list,2,2,1.0,True
dse/AgentCdmmhs52936DirectSrcY05312026,source-cache-url-list,17,14,0.8235294117647058,True
dse/AgentCensusDataUSABridge7459,relay-coordination,6,2,0.3333333333333333,False
dse/AgentCharlestonArchiveManifestJsonProxyLinksG,source-cache-url-list,10,9,0.9,True
dse/AgentCharlestonArchiveMetadataDomainPathC,source-cache-url-list,10,9,0.9,True
dse/AgentCharlestonArchivePartFourMetadataCleanViewB,source-cache-url-list,20,18,0.9,True
dse/AgentCharlestonArchivePartFourMetadataListA,source-cache-url-list,10,9,0.9,True
dse/AgentCharlestonArchiveReadableTextF,source-cache-url-list,29,24,0.8275862068965517,True
dse/AgentCharlestonCatalogLinkMirrorNew2026G,source-cache-url-list,12,10,0.8333333333333334,True
dse/AgentCharlestonCatalogXMLProxyLinksHFTwo2026J,source-cache-url-list,11,10,0.9090909090909091,True
dse/AgentCharlestonDirectManifestLinksE,relay-coordination,27,22,0.8148148148148148,True
dse/AgentCharlestonLinksJSON3,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCharlestonLinksXY2,source-cache-url-list,6,4,0.6666666666666666,True
dse/AgentCharlestonNavyNewsletterImageReferencesPageIV2026H,relay-coordination,32,29,0.90625,True
dse/AgentCharlestonNewsletterJan1951Links,relay-coordination,242,188,0.7768595041322314,True
dse/AgentCharlestonOCRPublicPaths,relay-coordination,73,64,0.8767123287671232,True
dse/AgentCharlestonPartFourSources92843,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCharlestonProxy119910Unique,source-cache-url-list,7,6,0.8571428571428571,True
dse/AgentChatGPTConstructionAug11X,relay-coordination,3,0,0.0,False
dse/AgentChildDescriptionFilterLabelsQ928A,relay-coordination,31,28,0.9032258064516129,True
dse/AgentChildWindow9Experiments,source-cache-url-list,39,28,0.717948717948718,True
dse/AgentChunkMassachusettsJune231,unknown,6,0,0.0,False
dse/AgentChunkPageJune230,relay-coordination,3,1,0.3333333333333333,False
dse/AgentChunkPageJune231,relay-coordination,3,1,0.3333333333333333,False
dse/AgentChunkPageJune232,relay-coordination,3,1,0.3333333333333333,False
dse/AgentChunkPageJune233,relay-coordination,3,1,0.3333333333333333,False
dse/AgentCitationDigitalLibraryRefX183931,source-cache-url-list,16,12,0.75,True
dse/AgentCitationEntryEconomicsPDFZZ942,relay-coordination,1,1,1.0,True
dse/AgentCitationInvestMethodJune19AA,relay-coordination,44,37,0.8409090909090909,True
dse/AgentCitationSECJun19A,relay-coordination,89,85,0.9550561797752809,True
dse/AgentCitationTechDirectMETLRecordHashB0526,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCitationTechTmpQ7333103,source-or-unclassified,2,1,0.5,True
dse/AgentCitationTransformJuneM,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCitationsBridgeCitiesTX2026,source-or-unclassified,2,1,0.5,True
dse/AgentCitationsJune2026Beta,source-cache-url-list,19,16,0.8421052631578947,True
dse/AgentCite717093,relay-coordination,116,79,0.6810344827586207,True
dse/AgentCiteTBRowsABCE,source-cache-url-list,2,2,1.0,True
dse/AgentClarkAliasReadersM6009,source-cache-url-list,11,10,0.9090909090909091,True
dse/AgentClarkCitationPageX7774,relay-coordination,10,9,0.9,True
dse/AgentClarkCitationsShortProxyZ9912,relay-coordination,6,4,0.6666666666666666,True
dse/AgentClarkCleanJoinedEconRefsFinalQQ90127,relay-coordination,9,8,0.8888888888888888,True
dse/AgentClarkCorsArchiveReadersTTX99021,relay-coordination,13,12,0.9230769230769231,True
dse/AgentClarkCorsEncodedFinalReadersWQ741,relay-coordination,7,6,0.8571428571428571,True
dse/AgentClarkEcoProxyTests,relay-coordination,20,20,1.0,True
dse/AgentClarkEcoProxyTests2,relay-coordination,27,27,1.0,True
dse/AgentClarkEcoProxyTests3,relay-coordination,31,31,1.0,True
dse/AgentClarkEcoProxyTests4,relay-coordination,35,35,1.0,True
dse/AgentClarkEcon006Test,relay-coordination,18,13,0.7222222222222222,True
dse/AgentClarkEconNewsletterCitationsNQ01,relay-coordination,10,8,0.8,True
dse/AgentClarkEconomicsLinksX1,relay-coordination,5,5,1.0,True
dse/AgentClarkEconomicsLinksX2,relay-coordination,8,7,0.875,True
dse/AgentClarkEconomicsLinksX7,relay-coordination,4,4,1.0,True
dse/AgentClarkEncodedDotsReaderGZ81,relay-coordination,10,9,0.9,True
dse/AgentClarkFilteredReadersZ900,relay-coordination,17,16,0.9411764705882353,True
dse/AgentClarkHtmlWrapperSourceR771,relay-coordination,9,8,0.8888888888888888,True
dse/AgentClarkJQPExcerptStudyZZ0601,relay-coordination,22,21,0.9545454545454546,True
dse/AgentClarkJQPSimpleDiagnosticsTT71,relay-coordination,29,28,0.9655172413793104,True
dse/AgentClarkJqpCorrectEncodedAA91,relay-coordination,2,1,0.5,True
dse/AgentClarkJqpCorrectEncodedVV90,relay-coordination,2,2,1.0,True
dse/AgentClarkJqpEncodedEndpointWW91,relay-coordination,3,2,0.6666666666666666,True
dse/AgentClarkJsonMarkdownTestX8Q1,relay-coordination,5,4,0.8,True
dse/AgentClarkLongLinkZ,relay-coordination,1,1,1.0,True
dse/AgentClarkMem8ReaderPDFZT7710,relay-coordination,7,6,0.8571428571428571,True
dse/AgentClarkMemExactCitationsN701,source-cache-url-list,31,30,0.967741935483871,True
dse/AgentClarkMemGoodFiveSixPDFLinkXX99321,relay-coordination,9,8,0.8888888888888888,True
dse/AgentClarkMemo2012VariantsDX8,relay-coordination,12,11,0.9166666666666666,True
dse/AgentClarkMetaCitationsCreatedByA01Z,source-cache-url-list,10,9,0.9,True
dse/AgentClarkMetaEncodedB0199,source-cache-url-list,10,9,0.9,True
dse/AgentClarkMetaTitlesC01992,relay-coordination,12,9,0.75,True
dse/AgentClarkNewsArchRefTY86321,relay-coordination,4,4,1.0,True
dse/AgentClarkNewsletterCitationJYV78415,relay-coordination,3,2,0.6666666666666666,True
dse/AgentClarkNewsletterLinksJune2026Y9,relay-coordination,10,8,0.8,True
dse/AgentClarkNewsletterProxyXYZQ10,relay-coordination,11,10,0.9090909090909091,True
dse/AgentClarkNewsletterReaderLinksCFJuneV3,relay-coordination,7,4,0.5714285714285714,True
dse/AgentClarkNewsletterReaderLinksCFQ2,relay-coordination,9,5,0.5555555555555556,True
dse/AgentClarkNewsletterRefDX,relay-coordination,3,2,0.6666666666666666,True
dse/AgentClarkPDFCorsRawLinksV922,relay-coordination,9,8,0.8888888888888888,True
dse/AgentClarkPDFLinksRenderF9912,relay-coordination,9,8,0.8888888888888888,True
dse/AgentClarkRetryCookie,source-or-unclassified,1,1,1.0,True
dse/AgentClarkSortedJqQ700,relay-coordination,17,16,0.9411764705882353,True
dse/AgentClarkSourcesRawJson42Bridge,relay-coordination,3,2,0.6666666666666666,True
dse/AgentClarkTextReadersNQ88,relay-coordination,9,8,0.8888888888888888,True
dse/AgentCleanDataUSAExactTest,relay-coordination,3,1,0.3333333333333333,False
dse/AgentClickableHub9912307,source-cache-url-list,5,2,0.4,False
dse/AgentCofCHeaderTestsPathsZ,relay-coordination,12,9,0.75,True
dse/AgentCofcCatEntriesP4LinksSmallOne,source-cache-url-list,7,6,0.8571428571428571,True
dse/AgentCofcCatalogueResidenceSrDotWorkaroundLinkFinal,relay-coordination,6,5,0.8333333333333334,True
dse/AgentCofcRspaceManifestFormatTrialsOne,source-cache-url-list,21,20,0.9523809523809523,True
dse/AgentCombinedFreshBridge,relay-coordination,2,1,0.5,True
dse/AgentCombinedX,relay-coordination,51,38,0.7450980392156863,True
dse/AgentCompact13Bridge,source-cache-url-list,13,10,0.7692307692307693,True
dse/AgentCompact13GroupALL,relay-coordination,5,2,0.4,False
dse/AgentCompact13GroupAlpha,relay-coordination,5,2,0.4,False
dse/AgentCompact13GroupBeta,relay-coordination,5,2,0.4,False
dse/AgentCompact13GroupDelta,relay-coordination,5,2,0.4,False
dse/AgentCompact13GroupGamma,relay-coordination,5,2,0.4,False
dse/AgentCompactFollow120,relay-coordination,3,1,0.3333333333333333,False
dse/AgentCompactOfficialNamed6971234,relay-coordination,8,6,0.75,True
dse/AgentComputeVerify1952XYZ,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentConnecticutEduHealthMay25LiveX,source-cache-url-list,12,12,1.0,True
dse/AgentConstructionNYCATXFL20270603,relay-coordination,3,1,0.3333333333333333,False
dse/AgentConstructionNYTest17817145,source-or-unclassified,1,1,1.0,True
dse/AgentConstructionProxyTestX1781638275,source-cache-url-list,4,2,0.5,True
dse/AgentConv9913,source-cache-url-list,23,19,0.8260869565217391,True
dse/AgentCookAPILinks2026ZZ,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookAPIQueryUnique28194,source-or-unclassified,2,1,0.5,True
dse/AgentCookAge85DataXYZ,source-or-unclassified,2,1,0.5,True
dse/AgentCookAgeBridge20260622Q,source-or-unclassified,2,1,0.5,True
dse/AgentCookAgeBridge20261004,source-or-unclassified,1,1,1.0,True
dse/AgentCookAgeBridge85422026X,source-cache-url-list,8,7,0.875,True
dse/AgentCookAgeBridge987321,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookAgeBridge9901285,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookAgeBridgeUnique202806,source-cache-url-list,13,12,0.9230769230769231,True
dse/AgentCookAgeBridgeUnique999,source-or-unclassified,1,1,1.0,True
dse/AgentCookAgeBridgeX2026,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookAgeBridgeXYZ987654,source-cache-url-list,4,3,0.75,True
dse/AgentCookAgeData1782096000,source-cache-url-list,6,5,0.8333333333333334,True
dse/AgentCookAgeData994413,source-or-unclassified,1,1,1.0,True
dse/AgentCookAgeDataBridge0618,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookAgeDataBridge1782096362,source-cache-url-list,6,5,0.8333333333333334,True
dse/AgentCookAgeDataBridgeJune21Unique,source-cache-url-list,9,8,0.8888888888888888,True
dse/AgentCookAgeDataBridgeX77196,source-cache-url-list,5,4,0.8,True
dse/AgentCookAgeDataBridgeX9,source-cache-url-list,4,3,0.75,True
dse/AgentCookAgeDataHelper777,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookAgeDataOpen2026CookLinkABCD9,source-cache-url-list,3,2,0.6666666666666666,True
dse/AgentCookAgeDataOpen2026XYZ,source-cache-url-list,5,4,0.8,True
dse/AgentCookAgeDataOpen2026XYZ3,source-or-unclassified,1,1,1.0,True
dse/AgentCookAgeDataUSAHelper17820965,source-cache-url-list,7,6,0.8571428571428571,True
dse/AgentCookAgeDataX52691,source-cache-url-list,5,5,1.0,True
dse/AgentCookAgeGenderBridgeX1,source-cache-url-list,3,2,0.6666666666666666,True
