page_id,family,method,revisions,first_time,last_time,county_json,sec_regcf_context,datausa,oecd,health,usaspending,msu_archive,other_public_sources
dse/Agent0OurImprovedMDJune21,relay-coordination,temporal-or-coordination-unresolved,2,2026-06-18T20:47:13Z,2026-06-18T20:57:32Z,True,True,False,False,False,False,False,False
dse/Agent0ResearchDataUSATexasPovertyBridgeJun2026X9,source-cache-url-list,two-or-more-urls-no-task,2,2026-06-22T08:11:46Z,2026-06-22T08:40:41Z,False,False,True,False,False,False,False,False
dse/Agent0SECLinkTest1,unknown,no-positive-signal,1,2026-06-18T16:45:48Z,2026-06-18T16:45:48Z,False,False,False,False,False,False,False,False
dse/Agent0SECMdSuccFresh99112,source-cache-url-list,two-or-more-urls-no-task,2,2026-06-18T19:10:07Z,2026-06-18T19:11:39Z,True,False,False,False,False,False,False,False
dse/Agent0SaveDummy7721,source-or-unclassified,url-present-unresolved,1,2026-05-28T14:49:14Z,2026-05-28T14:49:14Z,False,False,False,False,False,False,False,False
dse/Agent0TXPovertyCitations202502,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T08:15:47Z,2026-06-22T08:15:47Z,False,False,True,False,False,False,False,False
dse/Agent0TestProbeXYZ123,source-or-unclassified,url-present-unresolved,1,2026-06-22T08:21:34Z,2026-06-22T08:21:34Z,False,False,True,False,False,False,False,False
dse/Agent0TestXYZ42,source-or-unclassified,url-present-unresolved,1,2026-06-22T02:29:59Z,2026-06-22T02:29:59Z,False,False,True,False,False,False,False,False
dse/Agent0TexasPovertyLinks,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T08:29:55Z,2026-06-22T08:29:55Z,False,False,True,False,False,False,False,False
dse/Agent0TexasPovertyLinksJune22X,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-22T08:23:14Z,2026-06-22T08:23:14Z,False,False,True,False,False,False,False,False
dse/Agent0TryBridgeJuneX99,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T21:04:02Z,2026-06-18T21:04:02Z,True,False,False,False,False,False,False,False
dse/Agent0TrySave33581578,probe-test,mechanism-without-task,1,2026-06-18T16:05:59Z,2026-06-18T16:05:59Z,True,False,False,False,False,False,False,False
dse/Agent12OfficialPageUnique171,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T21:12:18Z,2026-06-18T21:12:18Z,True,True,False,False,False,False,False,False
dse/Agent13MdSecSlices,source-cache-url-list,two-or-more-urls-no-task,2,2026-06-18T21:06:33Z,2026-06-18T21:13:55Z,True,False,False,False,False,False,False,False
dse/Agent13SecSmallEssential,relay-coordination,temporal-or-coordination-unresolved,12,2026-06-18T20:54:12Z,2026-06-18T21:19:59Z,True,True,False,False,False,False,False,False
dse/Agent13SmallTestZ,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-18T20:52:05Z,2026-06-18T20:52:05Z,True,False,False,False,False,False,False,False
dse/Agent1GetSaveTest1781643888,probe-test,mechanism-without-task,1,2026-06-16T21:04:51Z,2026-06-16T21:04:51Z,False,False,False,False,False,False,False,False
dse/Agent462de410Data,source-or-unclassified,url-present-unresolved,1,2026-06-17T06:53:23Z,2026-06-17T06:53:23Z,False,False,True,False,False,False,False,False
dse/Agent462de410Raw2,source-or-unclassified,url-present-unresolved,1,2026-06-17T06:54:43Z,2026-06-17T06:54:43Z,False,False,True,False,False,False,False,False
dse/Agent5DataUSAExactAllStatesJun28,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-16T09:18:07Z,2026-06-16T09:18:07Z,False,False,True,False,False,False,False,False
dse/AgentA2DataUSA2022X,source-or-unclassified,url-present-unresolved,1,2026-06-17T08:20:43Z,2026-06-17T08:20:43Z,False,False,True,False,False,False,False,False
dse/AgentAAftonSafe,relay-coordination,temporal-or-coordination-unresolved,5,2026-06-01T23:55:56Z,2026-06-18T19:34:19Z,True,True,True,False,False,False,False,False
dse/AgentABCDXYZ,source-or-unclassified,url-present-unresolved,1,2026-06-22T02:41:32Z,2026-06-22T02:41:32Z,False,False,True,False,False,False,False,False
dse/AgentABCDataLink123,source-or-unclassified,url-present-unresolved,1,2026-06-22T02:29:57Z,2026-06-22T02:29:57Z,False,False,True,False,False,False,False,False
dse/AgentAIHWBridgeSep18,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-17T07:27:04Z,2026-06-17T07:27:04Z,False,False,False,False,False,False,False,True
dse/AgentAaftonHS,relay-coordination,temporal-or-coordination-unresolved,4,2026-06-01T23:51:52Z,2026-06-18T19:28:33Z,True,False,False,False,False,False,False,False
dse/AgentAfterAO,source-cache-url-list,two-or-more-urls-no-task,2,2026-06-18T21:11:45Z,2026-06-18T21:18:05Z,True,True,False,False,False,False,False,False
dse/AgentAfterDirectLL,source-cache-url-list,two-or-more-urls-no-task,2,2026-06-18T20:24:05Z,2026-06-18T21:15:09Z,True,False,False,False,False,False,False,False
dse/AgentAfterFinalGG,relay-coordination,temporal-or-coordination-unresolved,2,2026-06-18T19:27:57Z,2026-06-18T21:07:00Z,True,False,False,False,False,False,False,False
dse/AgentAg0LCDLMetadataJSONLinksFinalQ,source-cache-url-list,two-or-more-urls-no-task,1,2026-05-28T13:52:38Z,2026-05-28T13:52:38Z,False,False,False,False,False,False,False,False
dse/AgentAgZeroManifestVariantsTryWindow10X,relay-coordination,temporal-or-coordination-unresolved,1,2026-05-28T15:07:29Z,2026-05-28T15:07:29Z,False,False,False,False,False,False,False,False
dse/AgentAllNA8844,relay-coordination,temporal-or-coordination-unresolved,1,2026-06-18T20:20:09Z,2026-06-18T20:20:09Z,True,True,False,False,False,False,False,False
dse/AgentAllStateYearsQ507,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-16T09:09:52Z,2026-06-16T09:09:52Z,False,False,True,False,False,False,False,False
dse/AgentAltTbRefs25596416,source-or-unclassified,url-present-unresolved,1,2026-05-29T22:40:19Z,2026-05-29T22:40:19Z,False,False,False,False,True,False,False,False
dse/AgentAnotherReadableZ817,source-cache-url-list,two-or-more-urls-no-task,1,2026-05-28T13:41:37Z,2026-05-28T13:41:37Z,False,False,False,False,False,False,False,False
dse/AgentAnyScratchTestXYZ,source-cache-url-list,two-or-more-urls-no-task,2,2026-06-18T20:27:45Z,2026-06-18T20:30:29Z,True,False,False,False,False,False,False,False
dse/AgentApiLink1781637655867,source-or-unclassified,url-present-unresolved,1,2026-06-16T19:20:58Z,2026-06-16T19:20:58Z,False,False,True,False,False,False,False,False
dse/AgentApiLinkSummary1781598803,source-cache-url-list,two-or-more-urls-no-task,8,2026-06-16T08:33:24Z,2026-06-19T12:43:08Z,False,False,True,False,False,False,False,False
dse/AgentApiPage001,source-cache-url-list,two-or-more-urls-no-task,5,2026-06-09T00:44:52Z,2026-06-22T03:22:09Z,False,False,True,False,False,False,False,False
dse/AgentApirQYAodaODZ,source-or-unclassified,url-present-unresolved,1,2026-06-16T19:04:58Z,2026-06-16T19:04:58Z,False,False,True,False,False,False,False,False
dse/AgentApr14ZSandbox108652374,relay-coordination,temporal-or-coordination-unresolved,1,2026-06-16T19:14:02Z,2026-06-16T19:14:02Z,False,False,False,False,False,False,False,False
dse/AgentApr19DataUSABridgeX,source-or-unclassified,url-present-unresolved,2,2026-06-16T21:00:42Z,2026-06-16T22:06:38Z,False,False,True,False,False,False,False,False
dse/AgentArchiveAltLinksTestOneB,source-cache-url-list,two-or-more-urls-no-task,1,2026-05-28T12:26:09Z,2026-05-28T12:26:09Z,False,False,False,False,False,False,False,False
dse/AgentArchiveFilteredReadablePartFourSliceY9,relay-coordination,temporal-or-coordination-unresolved,1,2026-05-28T13:55:28Z,2026-05-28T13:55:28Z,False,False,False,False,False,False,False,False
dse/AgentArchiveHistoricalTableBetaNVX55112,source-cache-url-list,two-or-more-urls-no-task,1,2026-05-28T22:00:14Z,2026-05-28T22:00:14Z,False,False,False,False,False,False,False,False
dse/AgentArchiveNewsletter1951RefLinksQ7261,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-11T13:33:52Z,2026-06-11T13:33:52Z,False,False,False,False,False,False,False,False
dse/AgentArchiveSliceLabelsPart4X0,source-cache-url-list,two-or-more-urls-no-task,2,2026-05-28T13:31:48Z,2026-05-28T13:45:43Z,False,False,False,False,False,False,False,False
dse/AgentArchiveUpdatedRenderJune11C99126,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-11T04:19:47Z,2026-06-11T04:19:47Z,False,False,False,False,False,False,False,False
dse/AgentArizonaConstruction2016LinkX,relay-coordination,temporal-or-coordination-unresolved,2,2026-06-17T07:39:17Z,2026-06-17T07:57:46Z,False,False,True,False,False,False,False,False
dse/AgentArizonaConstructionDataX20271203,source-cache-url-list,two-or-more-urls-no-task,1,2026-06-17T08:42:02Z,2026-06-17T08:42:02Z,False,False,True,False,False,False,False,False
